"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"117","Beehive CO2 Monitoring","Undergraduate","Electrical and Electronic Engineering","Control Systems; Embedded Systems","Nitish Patel","None","A research project the a the UoA is developing a novel behavioural monitoring system for beehives. Part of this system will require CO2 sensing and we need to select the most appropriate sensor for use in the hive. This project will involve testing a range of available CO2 sensors in a range of envi...","117_Beehive_CO2_Monitoring.html"
"118","Machine learning applied to behavioural markers in beehives","Undergraduate","Computer Systems Engineering","Control Systems; Embedded Systems","Nitish Patel","None","A research project the a the UoA is developing a novel behavioural monitoring system for beehives. A part of this system will require the analysis of large sets of multivariate time-series data. This project will utilise existing datasets to develop ML methods that might be best suited to identifyin...","118_Machine_learning_applied_to_behavioural_markers_in_beehives.html"
"119","Bias in Large Language Models","Undergraduate","Software Engineering","AI & Machine learning; Web tools and Application","Gill Dobbie","Fluency in Python and an understanding of AI","There has been a lot of research in the past about detecting bias in Large Language Models (LLMs) but it is very US centric. The goal of this project is to develop software that also detects bias in the NZ context. The project will be part of an ongoing research project, which identifies and tackles...","119_Bias_in_Large_Language_Models.html"
"120","[CDP-ENGSCI] PkW Shareholder Matching and Visualisation","Undergraduate","Software Engineering","Web tools and Application","Catherine Watson","None","We are working with Parininihi ki Waitotara (PKW), a Māori organisation based in Taranaki. Like many other organisations, PKW have shareholders who transfer shares over time, typically between family members. They wish to better understand these transfers by creating visualisations of the 'flow' of ...","120_CDPENGSCI_PkW_Shareholder_Matching_and_Visualisation.html"
"121","The confluence and navigation of disconnected repositories of building information","Undergraduate","Software Engineering","AI & Machine learning; Human Computer Interactions; Software Development Tools and Processes 1; Web tools and Application","Robert Amor","None","There are many sources of information that you might want to access when looking at a piece of land you could build on. The council holds information on the land and its allowable use, they also can provide information on the neighbouring properties and their owners, LINZ hold information on the act...","121_The_confluence_and_navigation_of_disconnected_repositories_of_building_information.html"
"122","Wireless charging of real-time tracking devices for healthcare applications","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Power Electronics & Electronics Systems","Aiguo Patrick Hu","Perspective students should have a very good background in electric circuit design, and at least one student should take the power electronics course. Successful candidates will work closely with postgraduate researchers in the research group.","Dedicated mobile devices are widely used for tracking people who need special care or assistance, for example, patients suffering from dementia. Apart from wireless data transfer, it has been a challenging task to maintain the power needed for driving these devices. This project is to develop a wire...","122_Wireless_charging_of_realtime_tracking_devices_for_healthcare_applications.html"
"123","Contactless power supply and control of wheel hub motors","Undergraduate","Electrical and Electronic Engineering","Power Electronics & Electronics Systems","Aiguo Patrick Hu","Perspective students should have a very good background in electric circuit design, and at least one student should take the power electronics course. Successful candidates will work closely with postgraduate researchers in the research group.","Wheel hub motors are used for electric bikes, robots, AGVs (Automatic Guided Vehicles), and other light electric vehicles. This project is to study the feasibility of driving wheel hub motors wirelessly for increased safety and reliability. The work involves a literature review and preliminary study...","123_Contactless_power_supply_and_control_of_wheel_hub_motors.html"
"124","Automated Ontology Learning with Large Language Models","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","LLMs (Large Language Models), such as ChatGPT,  are technologies with unprecedented text analysis capabilities. Despite the performance of LLMs is continuously improving, they still suffer from hallucinations and somehow limited capabilities when performing complex reasoning tasks. To explain LLMs r...","124_Automated_Ontology_Learning_with_Large_Language_Models.html"
"125","Improving Search-Based Test Generation with Large Language Models","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","Software testing is a costly yet crucial task in software engineering, ensuring confidence in the expected behaviour of implemented software. The automated generation of test cases is a significant and actively researched aspect of software engineering. Search-based software engineering has demonstr...","125_Improving_SearchBased_Test_Generation_with_Large_Language_Models.html"
"126","Electricity Smart Meter Data Applications using Big Data analytics and ANN","Undergraduate","Electrical and Electronic Engineering","Power Systems","Nirmal Nair","One of the project group members need to register in Power system elective specialization course track(ELECTENG 309, ELECTENG 731, ELECTENG 703)","Smart Meter penetration across the globe is ever increasing, for example in New Zealand we have close to 72% already. There are several implementations and publications around utilizing Smart meter data for various applications. Alongside, there is also a pick-up of penetration of distributed energy...","126_Electricity_Smart_Meter_Data_Applications_using_Big_Data_analytics_and_ANN.html"
"127","Decoding Discourse: Advancing Fairness in Speech Technology","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing","Jesin James","None","It is common for many of us to change the way we speak so that voice-activated systems (such as Siri, Alexa) understand us! This is called bias in speech technology, where the technology works best only for speakers of well-resources languages such as American English. For speakers of other language...","127_Decoding_Discourse_Advancing_Fairness_in_Speech_Technology.html"
"128","Anomaly detection for IoT-based time series","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Signal Processing","Kevin I-Kai Wang","None","IoT sensors are widely spread and collecting enormous amount of data. However, sensor data may contact noises caused by different factors, which will impact the data processing steps later on for providing intelligent services. This project aims to explore the existence and the type of anomalies (i....","128_Anomaly_detection_for_IoTbased_time_series.html"
"129","High power Inductor design for an IPT Inverter","Undergraduate","Electrical and Electronic Engineering","Power Electronics & Electronics Systems; Wireless Power Technologies","Grant Covic","ONe student must be enroleld in ELecteng734 (Power electronics)","Recent developments in transportation wireless power systems are focused on high power stationary systems suitable for fast charging stations for light, medium and heavy duty vehicles. This is placing considerable strain on the primary converter that typically uses a number of switches (within a ful...","129_High_power_Inductor_design_for_an_IPT_Inverter.html"
"130","Supercapacitor energy management for energy harvesting systems","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Green Energy Technologies; Power Electronics & Electronics Systems","Dulsha Kularatna-Abeywardana","None","In this project you will work to develop and optimise a supercapacitor energy management system for energy harvesters. Multiple energy harvesting sources feed into this system to extract ambient energy in whichever possible form to then store and distribute energy purely using supercapacitors. The t...","130_Supercapacitor_energy_management_for_energy_harvesting_systems.html"
"131","STEM: Computing and Electronics Education for High School Classrooms","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Games & Education Aids 1; Games & Education Aids 2","Dulsha Kularatna-Abeywardana","None","STEM is a hot topic among parents and communities where there is a lot of focus on promoting Science, Technology, Engineering, and Mathematics (STEAM) among the future generation. The predecessor of this project has developed a series of activities, which target high school students. These activitie...","131_STEM_Computing_and_Electronics_Education_for_High_School_Classrooms.html"
"132","Mood Colours - Colours for treating anxiety and depression","Undergraduate","Software Engineering","Human Computer Interactions; Smart Phone & Tablet Applications","Burkhard Wuensche","Good self-learning abilities; Interested in new technologies; Creativity; Proactive and able to work to deadlines (ethics deadlines, user study); Students must own a suitable mobile device","Colours, as music, affect our mood and are associated with emotions. For example, we say: ""I feel blue"" when we are sad. Certain aspects of colour emotions association are universal and probably have biological origins. However, other aspects of colour emotion association depend on culture. For exam...","132_Mood_Colours_Colours_for_treating_anxiety_and_depression.html"
"133","Compressive Sensing Illustrated (CSI): A Visual Educational Aid for Learning Compressive Sensing Concepts","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Games & Education Aids 1; Games & Education Aids 2; Signal Processing","William Lee","Students should have a firm mathematical background and be familiar with MATLAB. Knowledge in basic linear algebra would be advantageous, and it is recommended that at least one student is enrolled in Signal Processing (ELECTENG733).","Compressive Sensing (CS) is a relatively new signal processing technique that challenges the conventional Shannon-Nyquist theorem, asserting that signals can be accurately reconstructed from significantly fewer samples than dictated by the traditional sampling rate. Compressive sensing exploits the ...","133_Compressive_Sensing_Illustrated_CSI_A_Visual_Educational_Aid_for_Learning_Compressive_Sensing_Concepts.html"
"134","Behaviour Analysis using Computer Vision for Training Accelerator-based Ear Tags","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning","JongYoon Lim","None","The project advocates for a transformative method in livestock monitoring by marrying computer vision with intelligent wearable devices. It aims to circumvent the constraints posed by traditional sensor-reliant systems and the prohibitive cost of hardware, suggesting a method for precise behavior tr...","134_Behaviour_Analysis_using_Computer_Vision_for_Training_Acceleratorbased_Ear_Tags.html"
"135","Automatic Testing of StackOverflow.com Code Snippets","Undergraduate","Software Engineering","Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","Online developer forums such as StackOverflow.com (SO) have transformed how code is written by fostering a culture of searching and reusing code snippets. While various techniques have emerged to facilitate the reuse and analysis of SO code snippets, the automatic testing of these snippets remains a...","135_Automatic_Testing_of_StackOverflowcom_Code_Snippets.html"
"136","A Smart Inventory Management System with Asset Tracking","Undergraduate","Software Engineering","Human Computer Interactions; Web tools and Application","Duleepa Thrimawithana","NA","This project explores cost effective and user friendly technologies to identify and track the location of assets, for example packages in a warehouse, equipment used in industry/universities, etc. The key focus will be to minimize the need for costly infrastructure needed for localization, while max...","136_A_Smart_Inventory_Management_System_with_Asset_Tracking.html"
"137","MoodAI: Objective mood state assessment using digital biomarkers","Undergraduate","Computer Systems Engineering","AI & Machine learning; Software Development Tools and Processes 1","Partha Roop","None","There is a widening gap between available health funding and mental health needs both globally and also in New Zealand. Digital health is an opportunity for addressing this widening gap. Phones, wearables, and deep learning, can effectively detect, prevent, and manage health issues. This is also con...","137_MoodAI_Objective_mood_state_assessment_using_digital_biomarkers.html"
