"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"25","CDP – CIVIL ENGINEERING - Understanding the factors behind EV adoption in rural NZ communities","Undergraduate","Software Engineering","Web tools and Application","James Tizard","None","Note: This is a cross-department project with Civil Engineering; Understanding the mobility patterns and transportation needs of rural Māori communities is critical for providing equitable and sustainable transportation solutions across Aotearoa New Zealand. However, these communities are often unde...","25_CDP_CIVIL_ENGINEERING_Understanding_the_factors_behind_EV_adoption_in_rural_NZ_communities.html"
"26","Physical coding blocks for robotics and software education","Undergraduate","Computer Systems Engineering","Embedded Systems; Games & Education Aids 1; Human Computer Interactions","James Tizard","None","Children are often fascinated with robots and want to control (program) them. Currently, most programming environments are screen-based, requiring the use of either a mouse and keyboard or a touch screen. This project will investigate the use of physical coding blocks (tangibles) as an alternative a...","26_Physical_coding_blocks_for_robotics_and_software_education.html"
"27","Employing Artificial Intelligence and Remote Sensing Technologies for Early Detection and Response","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing","Waleed Abdulla","Studnents who took courses in AI such as COMPSYS 306 or similar. Interview with the supervisor is mandatory before submiting the application.","Introduction:; Over the past year, we have witnessed long and challenging battles against record-breaking wildfires worldwide. The wildfire spread over vast areas around the world. Some of these fires burned thousands of acres of land and destroyed hundreds of homes and buildings. Poor air quality d...","27_Employing_Artificial_Intelligence_and_Remote_Sensing_Technologies_for_Early_Detection_and_Response.html"
"28","Developing Novel Backpropagation-free Deep Neural Network","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning","Waleed Abdulla","Excellent math background. Previously enroled in an AI course such as COMPSYS306 or similar. Interview with the supervisor is mandatory before submiting the application.","There is immense interest in developing and deploying deep neural networks to solve complex problems in many challenging areas, such as speech recognition and image semantics extraction. Neural networks (NN) generally act as a black box that can classify signals end-to-end without knowing the essenc...","28_Developing_Novel_Backpropagationfree_Deep_Neural_Network.html"
"30","A comparative study on IPT pad design using Topology Optimization (TO)","Undergraduate","Electrical and Electronic Engineering; Software Engineering","Power Electronics & Electronics Systems","Udaya Madawala","Electronics design projects","TO is a material optimization method allowing new structures of maximum performance to be automatically determined while meeting a predefined material volume constraint. Its key advantages include lack of reliance on designer experience, and the use of a predefined design domain rather than an initi...","30_A_comparative_study_on_IPT_pad_design_using_Topology_Optimization_TO.html"
"31","Sensorless Control of BLDC motors under impulse loading conditions","Undergraduate","Electrical and Electronic Engineering; Software Engineering","Control Systems; Power Electronics & Electronics Systems","Udaya Madawala","None","This project aims to investigate and design a sensor-less control technnique for 3-phase brushless DC  (BLDC) motors that operate under frequent mechanical impulse loading and near-stall conditions. In contrast to common operating conditions of most BLDC motor drives, these special conditions are un...","31_Sensorless_Control_of_BLDC_motors_under_impulse_loading_conditions.html"
"32","Exploring thermal haptic feedback on conveying emotion in film scores","Undergraduate","Computer Systems Engineering","Control Systems; Human Computer Interactions; Signal Processing","Catherine Watson","None","Music is an auditory experience that enriches experiences and the cultures we encounter, frequently making us feel certain emotions and, in some cases, physical sensations. There are existing products designed for individuals to feel the rhythm of a musical piece or haptic suits that mimic what a so...","32_Exploring_thermal_haptic_feedback_on_conveying_emotion_in_film_scores.html"
"33","Acceleration of Capsule Networks on Heterogeneous Adaptive Platforms","Undergraduate","Computer Systems Engineering","AI & Machine learning; Embedded Systems","Maryam Hemmati","15 points from COMPSYS 305; 15 points from COMPSYS 304 or enrolment in COMPSYS 701; Students should have a very strong background in digital systems design and have a good understanding of computer system architectures. Competency with Electronic Design Automation (EDA) tools is required. They should be willing to learn to work with new design tools from AMD.","Capsule networks (CapsNets) are a class of neural networks that address one of the main issues and deficiencies of CNNs. In CNNs, extracted features in initial layers pass through pooling layers where critical information, including spatial relationships, could be missed, resulting in incorrect clas...","33_Acceleration_of_Capsule_Networks_on_Heterogeneous_Adaptive_Platforms.html"
"34","Energy Efficient Machine Learning Solutions on Adaptive Platforms","Undergraduate","Computer Systems Engineering","AI & Machine learning; Embedded Systems","Maryam Hemmati","15 points from COMPSYS 305; 15 points from COMPSYS 304 or enrolment in COMPSYS 701; Students should have a very strong background in digital systems design and have a good understanding of computer system architectures. Competency with Electronic Design Automation (EDA) tools is required. They should be willing to learn to work with new design tools from AMD.","Recent advances in Machine Learning (ML) has resulted in widespread deployment of ML solutions in several areas. ML solutions are usually characterised by their high computational complexity. Heterogeneous computing platforms are introduced to optimise the performance and energy efficiency. They con...","34_Energy_Efficient_Machine_Learning_Solutions_on_Adaptive_Platforms.html"
"35","Building a Machine Learning Model to Optimise the Varying of Financial Trading Model Parameters and Maximise Financial Trading Profitability","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning","Maryam Hemmati","None","At TRV Trading, we know that the financial market offers different opportunities to profit from trading according to the way it's behaving. For instance, when the market is very active (a lot of trading is going on), there are more opportunities to profit, when it's inactive, there are less. TRV use...","35_Building_a_Machine_Learning_Model_to_Optimise_the_Varying_of_Financial_Trading_Model_Parameters_and_Maximise_Financial_Trading_Profitability.html"
